#match_datetime,match_group,teamA,teamB,def_AB_bet,def_BS_bet,score
2022-12-3T18:00,vòng 2/16,Hà Lan,Hoa Kỳ,0_1,2,3_1
2022-12-3T22:00,vòng 2/16,Argentina,Úc,0_2,2.75,2_1
2022-12-4T18:00,vòng 2/16,Pháp,Ba Lan,0_2,2.5,
2022-12-4T22:00,vòng 2/16,Anh,Sénégal,1_0,2.25,
2022-12-5T18:00,vòng 2/16,Nhật Bản,Croatia,,,
2022-12-5T22:00,vòng 2/16,Brasil,Hàn Quốc,,,
2022-12-6T18:00,vòng 2/16,Maroc,Tây Ban Nha,,,
2022-12-6T22:00,vòng 2/16,Bồ Đào Nha,Thụy Sĩ,,,
2022-12-9T18:00,Tứ kết,teamA,teamB,,,
2022-12-9T22:00,Tứ kết,Hà Lan,Argentina,,,
2022-12-10T18:00,Tứ kết,teamA,teamB,,,
2022-12-10T22:00,Tứ kết,teamA,teamB,,,
2022-12-12T22:00,Bán kết,teamA,teamB,,,
2022-12-14T22:00,Bán kết,teamA,teamB,,,
2022-12-17T18:00,Tranh hạng ba,teamA,teamB,,,
2022-12-18T18:00,Chung kết,teamA,teamB,,,
