#match_datetime,match_group,teamA,teamB,def_AB_bet,def_BS_bet,score,,,
2022-11-20T19:00,Bảng A,Qatar,Ecuador,,,0:2,,,
2022-11-21T19:00,Bảng A,Sénégal,Hà Lan,,,0:2,,,
2022-11-25T16:00,Bảng A,Qatar,Sénégal,0.75:0,2.25,1:3,,,
2022-11-25T19:00,Bảng A,Hà Lan,Ecuador,0:1,2.25,1:1,,,
2022-11-29T18:00,Bảng A,Ecuador,Sénégal,0:0,2,1:2,,,
2022-11-29T18:00,Bảng A,Hà Lan,Qatar,0:2,3,2:0,,,
2022-11-21T16:00,Bảng B,Anh,Iran,,,6:2,,,
2022-11-21T22:00,Bảng B,Hoa Kỳ,Wales,,,1:1,,,
2022-11-25T13:00,Bảng B,Wales,Iran,0:0,2,0:2,,,
2022-11-25T22:00,Bảng B,Anh,Hoa Kỳ,0:1,2.75,0:0,,,
2022-11-29T22:00,Bảng B,Wales,Anh,1.25:0,2.5,0:3,,,
2022-11-29T22:00,Bảng B,Iran,Hoa Kỳ,0.5:0,2.25,0:1,,,
2022-11-22T13:00,Bảng C,Argentina,Ả Rập Xê Út,,,1:2,,,
2022-11-22T19:00,Bảng C,México,Ba Lan,,,0:0,,,
2022-11-26T16:00,Bảng C,Ba Lan,Ả Rập Xê Út,0:1,2.25,2:0,,,
2022-11-26T22:00,Bảng C,Argentina,México,0:1,2.5,2:0,,,
2022-11-30T22:00,Bảng C,Ả Rập Xê Út,México,0.75:0,2.5,1:2,,,
2022-11-30T22:00,Bảng C,Ba Lan,Argentina,1.25:0,2.25,0:2,,,
2022-11-22T16:00,Bảng D,Đan Mạch,Tunisia,,,0:0,,,
2022-11-22T22:00,Bảng D,Pháp,Úc,,,4:1,,,
2022-11-26T13:00,Bảng D,Tunisia,Úc,0:0,2.25,0:1,,,
2022-11-26T19:00,Bảng D,Pháp,Đan Mạch,0:1,2.25,2:1,,,
2022-11-30T18:00,Bảng D,Úc,Đan Mạch,1:0,2.5,1:0,,,
2022-11-30T18:00,Bảng D,Tunisia,Pháp,1.25:0,2.5,1:0,,,
2022-11-23T16:00,Bảng E,Đức,Nhật Bản,,,1:2,,,
2022-11-23T19:00,Bảng E,Tây Ban Nha,Costa Rica,0:1,2.5,7:0,,,
2022-11-27T13:00,Bảng E,Nhật Bản,Costa Rica,,,0:1,,,
2022-11-27T22:00,Bảng E,Tây Ban Nha,Đức,0:0,2.75,1:1,,,
2022-12-1T22:00,Bảng E,Nhật Bản,Tây Ban Nha,1.25:0,2.75,2:1,,,
2022-12-1T22:00,Bảng E,Costa Rica,Đức,2.75:0,3.75,2:4,,,
2022-11-23T13:00,Bảng F,Maroc,Croatia,,,0:0,,,
2022-11-23T22:00,Bảng F,Bỉ,Canada,,,1:0,,,
2022-11-27T16:00,Bảng F,Bỉ,Maroc,0:1,2.25,0:2,,,
2022-11-27T19:00,Bảng F,Croatia,Canada,0:0,2.25,4:1,,,
2022-12-1T18:00,Bảng F,Croatia,Bỉ,0:0,2.25,0:0,,,
2022-12-1T18:00,Bảng F,Canada,Maroc,0.5:0,2.25,1:2,,,
2022-11-24T13:00,Bảng G,Thụy Sĩ,Cameroon,0:1,2.25,1:0,,,
2022-11-24T22:00,Bảng G,Brasil,Serbia,0:1,2.75,2:0,,,
2022-11-28T13:00,Bảng G,Cameroon,Serbia,0.75:0,2.25,3:3,,,
2022-11-28T19:00,Bảng G,Brasil,Thụy Sĩ,1:0,2.5,1:0,,,
2022-12-2T22:00,Bảng G,Serbia,Thụy Sĩ,,,0:0,,,
2022-12-2T22:00,Bảng G,Cameroon,Brasil,,,0:0,,,
2022-11-24T19:00,Bảng H,Uruguay,Hàn Quốc,0:1,2.25,0:0,,,
2022-11-24T16:00,Bảng H,Bồ Đào Nha,Ghana,0:1,2.25,3:2,,,
2022-11-28T16:00,Bảng H,Hàn Quốc,Ghana,0:0,2,2:3,,,
2022-11-28T22:00,Bảng H,Bồ Đào Nha,Uruguay,0:1,2.25,2:0,,,
2022-12-2T18:00,Bảng H,Ghana,Uruguay,,,0:0,,,
2022-12-2T18:00,Bảng H,Hàn Quốc,Bồ Đào Nha,,,0:0,,,
